org_name,prop_name,public_private,address,zip_code,energy_star_score,prop_type,floor_area,floor_area_parking,year_built,total_GHG_emissions,site_EUI,weather_normalized_site_EUI,source_EUI,weather_normalized_source_EUI,water_use
Private,Private,Private,2329 Central Ave NE,55418,73,Bank Branch,48755,73430,1971,471,72,76,156,160,111
Private,Private,Private,4652 Lyndale Ave N,55412,0,Other - Services,53970,0,1986,49,5,5,14,14,85
Private,Private,Private,1700 2Nd St Ne,55413,54,Office,54586,50000,2001,688,135,142,216,223,1172
Private,Private,Private,333 S 12th St,55403,39,Worship Facility,108000,96000,1928,764,79,85,122,129,717
Private,Private,Private,1201 Broadway W,55411,18,Worship Facility,54861,30000,1978,439,54,57,127,131,702
Private,Private,Private,201 2Nd Ave SE,55414,0,Parking,240000,240000,1981,186,4,4,12,12,0
Private,Private,Private,2808 Hennepin Ave,55408,0,Fitness Center/Health Club/Gym,55000,0,1986,1282,193,197,382,385,2297
Private,Private,Private,501 2Nd St S,55401,0,Other - Education,55562,0,2008,716,123,132,216,225,508
Private,Private,Private,1900 Nicollet Ave,55403,48,Worship Facility,90000,0,1948,573,66,71,108,114,587
Private,Private,Private,25 Grove St,55401,78,K-12 School,156000,61000,1922,998,66,72,109,116,4558
Private,Private,Private,507 23rd Ave S,55454,0,Parking,75000,75000,1945,220,14,14,45,45,0
Private,Private,Private,10 5th St S,55401,0,Office,242681,0,1885,2817,61,61,179,179,5638
Private,Private,Private,2300 Chicago Ave,55404,0,Mixed Use Property,231555,3000,1951,2159,79,84,153,157,3015
Private,Private,Private,818 2nd St S -guthrie Theatre,55415,0,Performing Arts,231642,0,2006,5350,119,119,355,354,11923
Private,Private,Private,601 Stinson Blvd,55413,0,Parking,67000,67000,1920,161,15,15,46,47,284
Private,Private,Private,330 2nd Ave,55401,81,Office,233522,28700,1980,2363,69,72,160,162,2169
Private,Private,Private,400 1st Ave N,55401,86,Office,224808,0,1910,2200,76,79,157,161,1936
Private,Private,Private,400 4th St S,55415,84,Office,243853,0,1881,2053,89,96,144,151,3817
Private,Private,Private,200 3rd Ave N -colonial Warehouse,55401,98,Office,251465,0,1885,1496,44,47,96,98,1355
Private,Private,Private,3027 Hennepin Ave,55408,0,Mixed Use Property,176701,182400,1983,4219,192,196,389,391,9539
Private,Private,Private,517 Marquette Ave,55402,0,Parking,63583,189200,1999,322,34,36,81,83,16
Private,Private,Private,900 2nd Ave S -international Center,55402,47,Office,365574,96546,1984,6796,99,100,287,288,5414
Private,Private,Private,1330 Nicollet Mall,55403,0,Parking,30000,300998,1983,327,92,99,177,185,83
Private,Private,Private,801 Lasalle Ave,55402,0,Parking,250000,250000,1968,320,6,6,20,20,0
Private,Private,Private,818 Dunwoody Blvd,55403,0,Vocational School,225776,250000,1914,2086,81,86,153,158,7404
Private,Private,Private,821 Marquette Ave,55402,18,Hotel,202536,40343,1929,2603,98,99,208,209,11901
Private,Private,Private,200 5th St S,55401,0,Other,812848,0,1920,19444,136,139,371,373,10763
Private,Private,Private,1313 Nicollet Mall,55403,67,Hotel,275000,12000,1962,2888,86,89,172,174,9079
Private,Private,Private,570 6th Ave N,55411,0,Other - Public Services,285160,0,1984,1877,68,75,112,120,6955
Private,Private,Private,45 5th St S,55402,88,Office,324984,0,1921,2947,90,94,151,156,2
Private,Private,Private,911 Marquette Ave,55402,93,Office,685144,66439,1991,7356,61,62,167,169,4328
Private,Private,Private,507 23Rd Ave S,55454,0,Parking,45500,45500,1945,208,22,22,70,70,0
Private,Private,Private,825 Nicollet Mall - Medical Arts Bldg,55402,69,Medical Office,299253,0,1923,4227,136,141,223,229,5274
Private,Private,Private,524 23Rd Ave S,55454,0,Hospital (General Medical & Surgical),82807,0,1990,2981,368,368,604,604,5954
Private,Private,Private,416 1st Ave N,55401,0,Office,151817,0,1900,1625,65,68,168,171,3105
Private,Private,Private,3106 Nicollet Ave,55408,0,Transportation Terminal/Station,210000,0,1990,1396,68,75,113,121,7471
Private,Private,Private,88 6th St S,55402,54,Hotel,208442,0,2007,2761,112,115,218,219,7755
Private,Private,Private,1200 Marquette Ave,55403,43,Worship Facility,120000,12000,1897,793,58,62,109,113,1189
Private,Private,Private,1500 Washington Ave S,55454,68,Hotel,195000,0,1984,2037,90,94,172,177,6678
Private,Private,Private,20 Washington Ave S,55401,94,Office,212724,0,1964,1845,59,62,137,141,4073
Private,Private,Private,615 2nd Ave S,55402,7,Hotel,200503,0,2001,3526,171,179,294,303,15820
Private,Private,Private,1300 Godward St,55413,97,Office,173180,150000,1988,1364,41,42,121,122,2249
Private,Private,Private,717 25th Ave S,55454,0,Parking,40000,40000,1945,201,25,25,77,77,0
Private,Private,Private,2101 Kennedy St NE,55413,0,Office,159980,0,1919,0,64,66,98,100,5003
Private,Private,Private,651 Nicollet Mall,55402,10,Office,199323,0,1989,4728,154,158,368,372,2662
Private,Private,Private,1101 Lasalle Ave,55403,97,Hotel,200390,70000,1987,1363,59,62,112,115,6664
Private,Private,Private,30 5th St S,55401,0,Parking,20500,183136,1966,223,53,56,167,176,17
Private,Private,Private,700 Nicollet Mall,55402,78,Retail Store,1235912,0,1902,9877,74,77,132,135,15205
Private,Private,Private,2801 4th Ave S -south Building #5,55408,89,Office,241753,0,1983,2569,68,70,168,170,4693
Private,Private,Private,109 7th St S - Roanoke Bldg,55402,92,Office,195308,0,1927,1556,77,80,132,135,2288
Private,Private,Private,527 Marquette Ave,55402,34,Office,142136,0,1929,0,181,191,292,304,18
Private,Private,Private,425 7th St S,55415,56,Hotel,183559,0,1983,0,111,113,195,198,5280
Private,Private,Private,901 Nicollet Mallyoung Quinlan Bldg,55402,87,Office,260206,69334,1926,0,78,80,169,172,1609
Private,Private,Private,3737 3rd Ave S,55409,0,Social/Meeting Hall,216300,30000,1918,1295,59,63,101,105,1768
Private,Private,Private,100 6th St N,55403,94,Office,457678,0,1906,3746,51,53,129,130,4351
Private,Private,Private,2701 Wells Fargo Way,55408,88,Office,228894,0,2004,2564,67,68,175,175,5973
Private,Private,Private,110 5th St N,55401,66,Office,205435,0,1916,2978,109,110,233,233,3732
Private,Private,Private,3001 Broadway St Ne,55413,84,Office,192600,346481,2000,2585,71,72,207,208,4325
Private,Private,Private,2512 7th St S,55454,0,Outpatient Rehabilitation/Physical Therapy,173722,0,1945,3637,190,193,344,347,6923
Private,Private,Private,900 Nicollet Mall #h,55403,67,Retail Store,158193,1000,2001,2776,89,89,269,269,0
Private,Private,Private,814 9th St S,55404,0,Parking,24731,328349,1981,344,74,75,215,219,115
Private,Private,Private,401 2nd Ave S,55401,16,Hotel,173857,0,2008,3381,143,149,311,317,5626
Private,Private,Private,80 8th St S,55402,0,Mixed Use Property,2266906,196500,1973,26558,103,105,192,195,63065
Private,Private,Private,50 6th St S,55402,85,Office,811250,274098,2001,9854,61,62,186,190,10572
Private,Private,Private,704 4th Ave S,55402,92,Office,671610,246077,1987,1801,82,85,166,170,4655
Private,Private,Private,600 1st Ave N,55403,0,Indoor Arena,678396,0,1990,10219,118,119,233,235,195
Private,Private,Private,800 Nicollet Mall,55402,86,Office,1047458,136013,2000,12019,71,73,180,182,15903
Private,Private,Private,501 Nicollet Mall #j,55402,87,Office,683103,0,1991,6892,85,87,164,166,3635
Private,Private,Private,222 9th St S,55402,90,Office,907692,128000,1985,8336,79,81,150,153,3248
Private,Private,Private,353 5th St N,55403,0,Other - Entertainment/Public Assembly,1127632,184160,2010,12870,70,71,179,180,13233
Private,Private,Private,707 2nd Ave S -american Express Headquarter,55403,91,Financial Office,972407,184590,1999,10649,77,81,175,179,13156
Private,Private,Private,901 3rd Ave S,55402,94,Financial Office,979787,286221,2002,10223,62,63,163,163,11437
Private,Private,Private,200 6th St S,55402,96,Office,1467832,316454,1981,12006,42,43,126,126,13097
Private,Private,Private,420 5Th St N,55401,91,Office,304150,35145,1913,3102,70,73,162,164,1285
Private,Private,Private,225 6th St S,55402,94,Office,1636050,235981,1992,17054,62,63,162,165,14755
Private,Private,Private,250 Marquette Ave,55401,95,Office,549348,116922,1972,9817,130,133,285,288,5722
Private,Private,Private,33 S 6th St,55402,99,Office,1375717,0,1982,13288,67,69,153,155,8519
Private,Private,Private,425 S 2nd St,55415,86,Hotel,91600,0,2001,768,64,66,136,140,2677
Private,Private,Private,600 Hennepin Ave,55403,0,Mixed Use Property,306273,206365,2002,0,106,0,261,0,3149
Private,Private,Private,801 21st Ave S,55454,82,Residence Hall/Dormitory,100764,0,1973,764,77,80,127,130,2778
Private,Private,Private,2016 8th St,55454,82,Residence Hall/Dormitory,89720,0,1993,670,78,81,126,131,2372
Private,Private,Private,720 22nd Ave S,"Minneapolis, MN",0,Social/Meeting Hall,62500,0,1966,974,122,125,251,253,3274
Private,Private,Private,625 22nd Ave S,55454,0,Mixed Use Property,65000,0,1988,644,94,98,164,169,966
Private,Private,Private,715 20th Ave S,55454,90,Residence Hall/Dormitory,66000,21780,1999,399,52,55,100,103,3010
Private,Private,Private,715 23rs Ave S,55454,0,Fitness Center/Health Club/Gym,61800,0,1960,1202,150,155,313,319,2181
Private,Private,Private,801 21st Ave S,55454,0,Residence Hall/Dormitory,78800,0,1966,596,77,80,127,130,1965
Private,Private,Private,90 7th St S,55402,92,Office,1340572,157358,1987,12544,52,53,145,145,11375
Private,Private,Private,2701 Elliot Ave,55407,0,Parking,1630889,1630889,1980,1625,5,5,15,15,4141
Private,Private,Private,920 2nd Ave S,55402,84,Office,293978,63906,1986,3481,67,69,184,186,4544
Private,Private,Private,330 University Ave SE,55414,0,Mixed Use Property,366600,44064,1968,5855,131,133,261,262,4820
Private,Private,Private,717 Marquette Ave - Investors Bldg,55402,96,Office,424583,0,1926,3356,72,74,130,133,4888
Private,Private,Private,501 4th Ave S,55415,0,Parking,87120,304920,1974,399,23,23,70,71,167
Private,Private,Private,3701 Wayzata Blvd,55416,85,Office,425036,388460,1953,6187,96,99,231,233,7234
Private,Private,Private,601 1st Ave N,55403,61,Hotel,208721,0,2003,2788,103,105,216,219,6907
Private,Private,Private,17 7th St S,55402,0,Parking,2870,892673,1963,542,920,920,2887,2887,419
Private,Private,Private,730 2nd Ave S,55402,94,Office,329505,80000,1968,2489,82,84,128,130,3897
Private,Private,Private,111 Washington S,55401,0,Office,432830,0,1987,11942,138,139,423,424,5659
Private,Private,Private,2430 3rd Ave S,55404,0,Museum,466675,0,1915,7944,215,218,303,303,7337
Private,Private,Private,100 Washington Ave S,55401,97,Office,632935,137959,1980,4368,48,51,110,113,4745
Private,Private,Private,121 8th St S,55402,72,Office,511622,73000,1981,7241,116,119,229,233,4140
Private,Private,Private,800 Lasalle Ave Ste # 1040,55402,85,Office,782575,151710,1991,9364,95,97,193,196,13300
Private,Private,Private,608 2nd Ave S,55402,58,Office,1075164,443810,1916,16975,105,107,249,252,26473
Private,Private,Private,120 6th St S,55402,87,Office,525997,70225,1960,7756,125,129,240,244,3402
Private,Private,Private,412 3rd St S,55415,0,Parking,545975,545975,1983,648,6,6,18,19,190
Private,Private,Private,30 7th St S -marriott Hotel,55402,51,Hotel,555000,0,1990,0,122,123,213,215,28557
Private,Private,Private,100 5th St S,55402,91,Office,1170000,250153,1984,10546,53,55,141,143,8598
Private,Private,Private,2414 7th St S,55454,0,Outpatient Rehabilitation/Physical Therapy,294230,0,1975,4374,130,129,243,242,11120
Private,Private,Private,1000 Nicollet Mall,55403,94,Office,1900988,141797,2001,17821,57,59,147,148,13454
Private,Private,Private,255 2nd Ave S,55401,6,Office,528599,0,1900,16762,163,164,487,488,9107
Private,Private,Private,2525 Chicago Ave,55404,38,Hospital (General Medical & Surgical),800000,525000,2013,21039,210,212,426,426,35627
Private,Private,Private,1001 Marquette Ave,55403,3,Hotel,781000,0,1992,10618,118,121,224,227,46160
Private,Private,Private,910 Lasalle Ave,55402,0,Parking,210700,0,1954,210,5,6,15,16,42
Private,Private,Private,25 1st St N,55401,0,Parking,479718,479718,1982,272,3,3,9,9,0
Private,Private,Private,5025 Knox Ave S,55419,43,Worship Facility,95345,180000,1930,911,93,99,161,167,1349
Private,Private,Private,15 5th St S,55402,84,Office,178008,0,1916,1782,92,98,167,174,2823
Private,Private,Private,2751 Elliot Ave,55407,39,Medical Office,75798,0,1986,1290,116,118,269,271,1255
Private,Private,Private,2215 Park Ave,55407,0,Parking,174126,174126,1987,164,5,5,14,15,17
Private,Private,Private,100 2nd Ave N,55401,77,Office,75203,0,1930,784,66,70,164,168,3662
Private,Private,Private,416 10th St S,55404,80,Hotel,85608,0,1926,584,98,105,125,133,9959
Private,Private,Private,333 Washington Ave N,55401,77,Office,68043,0,1895,768,72,75,178,182,907
Private,Private,Private,1936 Lyndale Ave S,55403,0,Other,85700,10000,1906,522,61,65,103,107,330
Private,Private,Private,277 12th Ave N,55401,32,K-12 School,89000,0,1968,906,75,81,164,169,1370
Private,Private,Private,1635 Hennepin Ave,55403,0,Office,90260,0,1910,1015,119,126,193,200,3176
Private,Private,Private,1130 Nicollet Mall,55403,0,Other,55237,7500,1976,1695,242,247,495,497,1629
Private,Private,Private,2540 Park Ave,55404,0,Convention Center,83721,0,1980,273,37,39,57,60,386
Private,Private,Private,300 1st Ave N,55401,0,College/University,100608,0,1886,1168,95,101,190,196,1060
Private,Private,Private,2450 Riverside Ave,55454,22,Other - Specialty Hospital,238780,0,2011,7074,271,271,488,488,17120
Private,Private,Private,1010 Currie Ave,55403,23,Residence Hall/Dormitory,96530,0,1922,1650,137,141,279,282,9147
Private,Private,Private,702 1st St N,55401,83,Office,127484,0,1905,106,52,54,130,131,4552
Private,Private,Private,10 2nd St NE,55413,51,Office,99317,0,1984,1507,99,104,240,245,1945
Private,Private,Private,921 Marquette Ave,55402,0,Parking,76114,385200,1961,397,58,62,90,94,294
Private,Private,Private,10 Lake St W,55408,86,Retail Store,91805,0,1978,714,46,48,122,122,601
Private,Private,Private,2800 Wayzata Blvd,55405,0,Other,99922,0,1956,1370,113,121,224,232,1387
Private,Private,Private,45 8th St S #F,55402,80,Hotel,115600,37440,1998,1211,73,0,166,0,3820
Private,Private,Private,511 Groveland Ave,55403,64,Worship Facility,106412,30000,1916,638,56,61,100,105,868
Private,Private,Private,90 11th St S,55403,0,Office,100000,0,1983,2296,139,140,359,359,1969
Private,Private,Private,3033 Excelsior Blvd,55416,0,Office,155000,149646,1953,2653,163,166,287,290,42
Private,Private,Private,525 2nd St N,55401,42,Hotel,81300,19300,2000,864,74,77,170,176,2714
Private,Private,Private,2025 East River Pkwy,55414,0,Other - Specialty Hospital,103570,0,1990,2928,250,253,468,472,5
Private,Private,Private,710 24th St E,55404,54,Hospital (General Medical & Surgical),165169,0,1987,3164,165,168,316,315,4601
Private,Private,Private,312 3rd St S,55415,88,Office,71010,0,1906,442,39,41,98,100,316
Private,Private,Private,122 Franklin Ave W,55404,76,Office,71756,0,1963,691,99,0,163,0,929
Private,Private,Private,630 22Nd Ave S,55454,0,Library,70000,0,1997,1005,118,123,233,239,3287
Private,Private,Private,700 Dunwoody Blvd/Wayzata Blvd,55403,0,Vocational School,73050,180000,1949,676,103,111,160,168,436
Private,Private,Private,2324 Emerson Ave S,55405,64,Worship Facility,79392,0,1928,425,52,57,90,96,378
Private,Private,Private,2701 University SE,55414,64,Office,58968,10000,1981,926,107,110,250,253,1027
Private,Private,Private,404 8Th St S,55415,68,Office,73722,9500,1927,791,101,105,178,182,255
Private,Private,Private,720 13Th Ave S,55415,29,Worship Facility,73986,0,2003,532,60,63,118,121,973
Private,Private,Private,3335 Blaisdell Ave,55408,0,Fitness Center/Health Club/Gym,61000,32000,1960,1231,183,189,336,341,3210
Private,Private,Private,901 Hennepin Ave,55402,2,Hotel,73439,0,1912,1570,206,209,357,361,5190
Private,Private,Private,1101 River Pkwy W,55415,96,Office,83456,120516,2002,668,56,58,128,130,697
Private,Private,Private,46 S 11th St,55403,0,College/University,75019,0,2005,1324,157,162,290,294,960
Private,Private,Private,825 8th St S,55404,16,Office,176529,0,1982,3617,179,185,339,346,5296
Private,Private,Private,212 9th Ave S,55415,0,Performing Arts,272630,88000,2006,4863,166,171,298,303,8082
Private,Private,Private,708 2Nd St S,55401,78,Office,119155,0,2003,1190,105,111,171,174,1865
Private,Private,Private,100 1St Ave N,55401,0,Social/Meeting Hall,51685,0,1895,381,66,72,122,128,271
Private,Private,Private,1600 Buchanan St,55413,38,K-12 School,82664,0,1966,653,81,88,134,142,1274
Private,Private,Private,45 7Th St S Suite 200,55402,0,Mixed Use Property,717654,137974,1987,8260,96,98,187,191,6396
Private,Private,Private,15 9th St S,55402,0,College/University,80275,7950,1920,0,155,159,296,300,1
Private,Private,Private,625 2nd Ave S,55402,0,Other,56201,0,1914,1002,131,137,285,293,961
Private,Private,Private,811 Lasalle Ave,55403,0,Other - Mall,60000,16000,1998,1086,164,172,298,308,291
Private,Private,Private,4999 France Ave S,55410,0,Mixed Use Property,42147,45681,2000,1046,125,128,381,390,828
Private,Private,Private,701 Broadway W,55411,100,Supermarket/Grocery Store,80135,0,2008,3100,243,246,609,608,1322
Private,Private,Private,101 4th St SE,55414,0,Vocational School,70080,29164,1924,1028,105,108,235,239,2938
Private,Private,Private,405 8th St S,55404,51,Hotel,136699,45000,1924,1798,130,135,222,228,7252
Private,Private,Private,511 Kenwood Pkwy,55403,46,K-12 School,151904,0,1902,1480,91,95,163,167,1219
Private,Private,Private,2121 Lake St E -ymca,55403,0,Fitness Center/Health Club/Gym,135000,45000,2000,2418,128,132,287,291,6249
Private,Private,Private,711 Hennepin Ave,55403,0,Mixed Use Property,93000,8000,1972,1064,90,96,186,189,1555
Private,Private,Private,2430 3rd Ave S,55404,0,Museum,85840,0,2005,3335,377,379,654,653,4550
Private,Private,Private,701 Washington Ave N,55401,41,Office,135500,40000,1911,2043,130,137,249,255,4
Private,Private,Private,810 Glenwood Ave N,55405,0,Other,565336,510175,1909,4693,53,55,131,133,9060
Private,Private,Private,500 Washington Ave S -depot Office Center,55415,67,Office,143197,0,2001,2146,102,105,239,241,11
Private,Private,Private,616 24th Ave S,55454,10,Medical Office,79000,0,1945,2113,132,132,409,409,4919
Private,Private,Private,409 Marquette Ave,55402,0,Parking,146080,0,1953,164,6,6,17,18,44
Private,Private,Private,2500 6th St S,55402,0,College/University,150639,0,1924,1791,100,105,194,199,1026
Private,Private,Private,301 4th Ave S,55415,82,Office,150293,0,1881,1265,89,96,144,151,2337
Private,Private,Private,2220 Riverside Ave,55454,0,Urgent Care/Clinic/Other Outpatient,110330,0,1970,1168,79,82,169,174,1874
Private,Private,Private,615 1st Ave NE -River Station,55413,78,Office,157227,60340,1928,1788,65,66,177,177,949
Private,Private,Private,331 2nd Ave S,55401,100,Office,137823,0,1982,1812,83,87,207,211,1763
Private,Private,Private,1220 Marshall St -brew House,55402,67,Office,100834,89648,1908,1291,115,121,213,218,632
Private,Private,Private,900 Nicollet Mall #c,55402,85,Office,522088,0,2001,5874,92,94,182,184,7407
Private,Private,Private,729 2nd Ave,55402,0,Mixed Use Property,111232,97000,1905,0,194,199,335,342,7971
Private,Private,Private,414 Nicollet Mall,55401,23,Office,373735,0,1967,9725,127,130,398,410,7570
Private,Private,Private,510 1st Ave Nbutler North Building,55403,0,Office,138474,0,1910,1697,77,80,193,196,4742
Private,Private,Private,2929 Chicago Ave,55407,89,Office,444541,0,1927,5182,106,112,194,199,4762
Private,Private,Private,2501 Stevens Ave S,55404,0,College/University,137463,37062,1973,2730,203,209,334,340,1839
Private,Private,Private,913 26Th St E,55407,35,Hospital (General Medical & Surgical),1560501,0,1926,42443,260,268,459,465,71463
Private,Private,Private,1107 Harmon Pl Mpls,55403,0,College/University,158000,0,2003,2189,100,102,221,222,3011
Private,Private,Private,3660 Technology Dr,55418,22,Office,169300,300000,1985,4949,163,167,454,458,138
Private,Private,Private,1540 New Brighton Blvd,55413,27,Supermarket/Grocery Store,64130,0,2013,2709,254,254,661,661,2110
Private,Private,Private,501 Nicollet Mall #D,55402,0,Mixed Use Property,113000,0,1991,0,68,70,151,154,832
Private,Private,Private,4225 3rd Ave S,55409,0,Pre-school/Daycare,108000,0,1963,468,46,49,74,78,1971
Private,Private,Private,606 24th Ave S -Fairview St Marys Bldg,55454,94,Hospital (General Medical & Surgical),596511,0,1945,11564,170,171,317,318,19436
Private,Private,Private,119 4th St N,55401,81,Office,104843,0,1894,1064,67,71,161,164,1561
Private,Private,Private,2500 Lake St E,55406,82,Retail Store,127233,291369,1976,1700,77,79,208,210,5772
Private,Private,Private,1520 New Brighton Blvd -home Depot,55413,71,Retail Store,129711,0,1997,1467,74,78,179,182,1368
Private,Private,Private,16 9th St S #1,55402,0,Fitness Center/Health Club/Gym,120000,0,1990,2178,165,169,302,306,4001
Private,Private,Private,900 4th St N,55401,0,Other - Lodging/Residential,130000,0,1860,1024,98,108,140,150,2437
Private,Private,Private,610 22nd Ave S,55454,0,Mixed Use Property,112100,20400,2007,1006,79,83,148,153,1518
Private,Private,Private,1615 River Rd W,55411,45,Office,117805,0,2009,1684,138,144,240,245,1444
Private,Private,Private,2530 Chicago Ave,55404,11,Medical Office,165000,160000,2009,3828,186,189,378,381,6601
Private,Private,Private,2101 Summer St,55413,0,Parking,190675,190675,2002,116,3,3,9,10,0
Private,Private,Private,400 2nd Ave S,55401,61,Office,135009,0,1979,1797,97,103,214,219,761
Private,Private,Private,401 3rd St N,55401,0,Office,107839,70584,1901,1004,65,69,149,151,1032
Private,Private,Private,1750 Hennepin Ave,55403,0,Museum,230000,50000,1970,4403,160,162,314,316,4616
Private,Private,Private,1650 New Brighton Blvd,55413,81,Retail Store,134918,265417,1997,1831,83,85,213,213,1623
Private,Private,Private,3200 Lake St W,55416,0,Strip Mall,89054,44440,1988,2157,183,188,391,396,5
Private,Private,Private,528 Hennepin Ave,55403,0,Performing Arts,119970,0,1888,1170,64,67,154,158,2773
Private,Private,Private,706 2nd Ave S -baker Building,55402,9,Office,112356,0,1926,2715,144,149,377,384,771
Private,Private,Private,2021 Hennepin Ave E,55413,78,Office,115000,0,1923,1224,94,99,176,181,1188
Private,Private,Private,310 4th Ave S,55403,92,Office,129636,0,1900,869,72,76,115,120,500
Private,Private,Private,1012 Lasalle Ave #B,55403,0,College/University,165516,0,1992,2261,104,105,219,220,2746
Private,Private,Private,2500 3rd Ave S,55404,0,Parking,128760,128760,1974,155,9,9,28,28,16
Private,Private,Private,910 Elliot Ave,55404,0,College/University,117144,0,1900,750,57,61,106,110,2026
Private,Private,Private,2840 4th Ave S,55408,0,Parking,655000,655000,2001,407,4,4,11,12,1198
Private,Private,Private,3433 Broadway St NE,55413,99,Office,126066,162200,1985,742,38,39,93,94,1576
